delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,year,month,day_of_week,is_monday,is_saturday,week_of_year,season,total_inventory,wings_ratio,protein_ratio,sides_ratio,beverages_ratio,wings_lag1,wings_lag2,tenders_lag1,tenders_lag2,total_inventory_lag1,total_inventory_lag2,total_inventory_rolling_mean,wings_rolling_std,reconstruction_error,is_anomaly
2021-03-11,5104,792,129,144,129,449,170,729,2021,3,3,0,0,10,spring,7646,0.6675385822652368,0.7711221553753597,0.05257651059377452,0.02223384776353649,4911.0,4811.0,639.0,730.0,7471.0,7252.0,7722.0,263.0088718402226,0.015606253114051517,False
2021-03-12,5725,771,150,159,174,720,247,851,2021,3,4,0,0,10,spring,8797,0.6507900420597931,0.7384335568943958,0.05490508127770831,0.028077753779697623,5104.0,4911.0,792.0,639.0,7646.0,7471.0,7521.25,142.35401879352264,0.0058991082251383265,False
2021-03-13,5942,761,132,171,165,720,261,823,2021,3,5,0,1,10,spring,8975,0.6620612813370473,0.7468523676880223,0.05214484679665738,0.029080779944289693,5725.0,5104.0,771.0,792.0,8797.0,7646.0,7791.5,409.9523346276572,0.00425266269801349,False
2021-03-14,6218,835,146,179,127,720,241,836,2021,3,6,0,0,10,spring,9302,0.6684583960438615,0.7582240378413244,0.048591700709524836,0.0259084067942378,5942.0,5725.0,761.0,771.0,8975.0,8797.0,8222.25,491.40784147860984,0.004042127805456973,False
2021-03-15,5250,790,116,135,143,652,171,769,2021,3,0,1,0,11,spring,8026,0.6541240966857712,0.7525541988537254,0.04909045601794169,0.021305756292050834,6218.0,5942.0,835.0,761.0,9302.0,8975.0,8680.0,473.91938484655094,0.007566585806161367,False
2021-03-16,5637,534,115,142,133,720,230,698,2021,3,1,0,0,11,spring,8209,0.6866853453526617,0.7517358996223656,0.04750883177000853,0.02801802899256913,5250.0,6218.0,790.0,835.0,8026.0,9302.0,8775.0,409.046350266894,0.00965123089500211,False
2021-03-17,5180,610,145,139,131,566,251,776,2021,3,2,0,0,11,spring,7798,0.6642728904847397,0.7424980764298538,0.053218774044626826,0.03218774044626827,5637.0,5250.0,534.0,790.0,8209.0,8026.0,8628.0,415.5738001045461,0.00248557581457849,False
2021-03-18,4410,688,118,154,120,330,188,715,2021,3,3,0,0,11,spring,6723,0.6559571619812584,0.7582924289751599,0.058307303287222965,0.027963706678566118,5180.0,5637.0,610.0,534.0,7798.0,8209.0,8333.75,475.7053534839957,0.009169314819423619,False
2021-03-19,6000,764,142,199,155,720,264,852,2021,3,4,0,0,11,spring,9096,0.6596306068601583,0.7436235708003518,0.05452946350043975,0.029023746701846966,4410.0,5180.0,688.0,610.0,6723.0,7798.0,7689.0,513.7725664143621,0.0032896167195719975,False
2021-03-20,5915,710,145,197,146,682,317,963,2021,3,5,0,1,11,spring,9075,0.6517906336088154,0.7300275482093664,0.053774104683195594,0.03493112947658402,6000.0,4410.0,764.0,688.0,9096.0,6723.0,7956.5,685.5379274700999,0.00656368344794911,False
2021-03-21,5608,612,146,167,158,668,276,892,2021,3,6,0,0,11,spring,8527,0.6576756186231969,0.729447636918025,0.05523630819749033,0.032367772956491146,5915.0,6000.0,710.0,764.0,9075.0,9096.0,8173.0,741.9498523035996,0.0020898105345012073,False
2021-03-22,4477,699,155,153,135,320,245,699,2021,3,0,1,0,12,spring,6883,0.6504431207322389,0.7519976754322243,0.06436147028911812,0.0355949440650879,5608.0,5915.0,612.0,710.0,8527.0,9075.0,8355.25,735.0434794395952,0.007521822143694659,False
2021-03-23,5058,623,152,147,163,431,243,771,2021,3,1,0,0,12,spring,7588,0.6665788086452293,0.7486821296784396,0.06088560885608856,0.03202424881391671,4477.0,5608.0,699.0,612.0,6883.0,8527.0,8395.25,702.4760968649871,0.005048309778334162,False
2021-03-24,4696,662,145,144,116,388,184,748,2021,3,2,0,0,12,spring,7083,0.6629959056896795,0.7564591274883524,0.05717916137229987,0.025977693067909077,5058.0,4477.0,623.0,699.0,7588.0,6883.0,8018.25,633.4932254307591,0.004189685043451818,False
2021-03-25,4971,531,111,159,133,320,251,770,2021,3,3,0,0,12,spring,7246,0.6860336737510351,0.759315484405189,0.055616892078388075,0.03463980126966602,4696.0,5058.0,662.0,623.0,7083.0,7588.0,7520.25,494.12979064209435,0.010858948696058253,False
2021-03-26,5500,655,160,179,194,720,269,868,2021,3,4,0,0,12,spring,8545,0.6436512580456407,0.7203042715038034,0.062375658279695725,0.03148039789350497,4971.0,4696.0,531.0,662.0,7246.0,7083.0,7200.0,265.1722710490925,0.016626006150089145,False
2021-03-27,6036,791,165,163,155,720,285,926,2021,3,5,0,1,12,spring,9241,0.6531760631966237,0.7387728600800779,0.052267070663348125,0.03084081809327995,5500.0,4971.0,655.0,531.0,8545.0,7246.0,7615.5,333.64889230047424,0.004103278209669814,False
2021-03-28,5589,718,153,168,174,594,220,847,2021,3,6,0,0,12,spring,8463,0.6604041120170152,0.7452440033085195,0.05848989719957462,0.02599550986647761,6036.0,5500.0,791.0,655.0,9241.0,8545.0,8028.75,592.9448400427593,0.004600638747724599,False
2021-03-29,4188,583,119,146,156,320,179,758,2021,3,0,1,0,13,spring,6449,0.6494030082183284,0.7398046208714529,0.06528143898278803,0.027756241277717475,5589.0,6036.0,718.0,791.0,8463.0,9241.0,8373.75,436.9416437008495,0.01245599280966278,False
2021-03-30,5367,582,119,160,137,629,219,785,2021,3,1,0,0,13,spring,7998,0.6710427606901725,0.7438109527381845,0.052013003250812706,0.02738184546136534,4188.0,5589.0,583.0,718.0,6449.0,8463.0,8174.5,795.5226269566442,0.0040082826254207,False
2021-03-31,4638,649,127,128,118,413,206,724,2021,3,2,0,0,13,spring,7003,0.6622875910324146,0.7549621590746822,0.05326288733399971,0.02941596458660574,5367.0,4188.0,582.0,583.0,7998.0,6449.0,8037.75,788.701464433787,0.011227181622315612,False
2021-04-01,4966,729,103,123,127,557,231,787,2021,4,3,0,0,13,spring,7623,0.6514495605404697,0.7470812016266561,0.046307228125409945,0.030303030303030304,4638.0,5367.0,649.0,582.0,7003.0,7998.0,7478.25,648.1041582955629,0.009511898029330007,False
2021-04-02,5351,669,155,174,169,646,264,880,2021,4,4,0,0,13,spring,8308,0.644077997111218,0.724602792489167,0.05994222436206066,0.03177660086663457,4966.0,4638.0,729.0,649.0,7623.0,7003.0,7268.25,499.8042116669287,0.005423881592614399,False
2021-04-03,6022,804,130,132,175,720,212,809,2021,4,5,0,1,13,spring,9004,0.6688138605064415,0.7581075077743226,0.048533984895601956,0.023545091070635273,5351.0,4966.0,669.0,729.0,8308.0,7623.0,7733.0,348.41019885569773,0.012940927119467158,False
